21/08/21,Mentalidad matemática
28/08/21,Rompimiento de paradigmas “educativos”
04/09/21,Desarrollo de la concentración 
11/09/21,Lectura analítica y problemas razonados
18/09/21,Puente
25/09/21,Representaciones y modelos matemáticos
02/10/21,Pensamiento divergente y creatividad
09/10/21,Síntesis de soluciones 
16/10/21,Comunicación de explicaciones
23/10/21,Pensar en equipo
30/10/21,Puente
06/11/21,Lógica intuitiva y lenguaje matemático
13/11/21,Razonamiento numérico
20/11/21,Razonamiento geométrico
27/11/21,Razonamiento algebraico
04/12/21,Estrategias para exámenes y competencias
11/12/21,Binomio 2021
